,stadium,country,capacity,region,average_capacity,stadium_count,regional_rank,avg_capacity
Top 10 Stadiums by Capacity,,,,,,,,
,Rungrado 1st of May Stadium,North Korea,114000.0,,,,,
,Michigan Stadium,United States,107601.0,,,,,
,Ohio Stadium,United States,102780.0,,,,,
,Melbourne Cricket Ground,Australia,100024.0,,,,,
,Camp Nou,Spain,99354.0,,,,,
,FNB Stadium,South Africa,94736.0,,,,,
,New Administrative Capital Stadium,Egypt,93940.0,,,,,
,Rose Bowl Stadium,United States,92800.0,,,,,
,Cotton Bowl Stadium,United States,92100.0,,,,,
,Wembley Stadium,England,90000.0,,,,,
Average Capacity by Region,,,,,,,,
,,,,North America,67126.65384615384,,,
,,,,Oceania,64697.57142857143,,,
,,,,West Asia,57331.04347826087,,,
,,,,Europe,57250.677777777775,,,
,,,,Africa,53810.181818181816,,,
,,,,East Asia,53442.22222222222,,,
,,,,Southeast Asia,51154.818181818184,,,
,,,,South America,49958.43548387097,,,
,,,,South Asia,49577.77777777778,,,
Number of Stadiums per Country,,,,,,,,
,,United States,,,,41.0,,
,,China,,,,35.0,,
,,Brazil,,,,25.0,,
,,Germany,,,,16.0,,
,,Argentina,,,,14.0,,
,,Japan,,,,13.0,,
,,South Africa,,,,13.0,,
,,England,,,,12.0,,
,,South Korea,,,,11.0,,
,,Spain,,,,10.0,,
,,Malaysia,,,,9.0,,
,,Algeria,,,,8.0,,
,,Indonesia,,,,8.0,,
,,France,,,,7.0,,
,,India,,,,7.0,,
,,Mexico,,,,7.0,,
,,Australia,,,,6.0,,
,,Italy,,,,6.0,,
,,Morocco,,,,6.0,,
,,Iran,,,,5.0,,
,,Peru,,,,5.0,,
,,Poland,,,,5.0,,
,,Qatar,,,,5.0,,
,,Russia,,,,5.0,,
,,Turkey,,,,5.0,,
,,Venezuela,,,,5.0,,
,,Canada,,,,4.0,,
,,Colombia,,,,4.0,,
,,Egypt,,,,4.0,,
,,Scotland,,,,4.0,,
,,Ecuador,,,,3.0,,
,,Portugal,,,,3.0,,
